"Player","Nation","Pos","Age","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","Gls_90","Ast_90","G.A_90","G.PK_90","G.A.PK_90","xG_90","xAG_90","xG.xAG_90","npxG_90","npxG.xAG_90","Team","precio","precio_mas_alto"
"caoimhin kelleher","ie IRL","GK",24,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",20000000,20000000
"conor bradley","nir NIR","DF",20,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,35,29,64,0.12,0.36,0.48,0.12,0.48,0.1,0.17,0.28,0.1,0.28,"Liverpool",15000000,15000000
"joel matip","cm CMR","DF",31,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0,0,0,0,0,0.06,0.01,0.06,0.06,0.06,"Liverpool",8000000,40000000
"bobby clark","eng ENG","MF",18,5,1,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,3,7,0,0,0,0,0,0.14,0,0.14,0.14,0.14,"Liverpool",1000000,1000000
"stefan bajcetic","es ESP","MF",18,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",11000000,13000000
"ben doak","sct SCO","FW",17,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",10000000,10000000
"jayden danns","eng ENG","FW",17,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Liverpool",1000000,1000000
"owen beck","wls WAL","DF",20,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Liverpool",1250000,1250000
"thiago alcantara","es ESP","MF",32,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",10000000,70000000
"james mcconnell","eng ENG","MF",18,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",500000,500000
"kaide gordon","eng ENG","FW",18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Liverpool",1200000,1500000
"william saliba","fr FRA","DF",22,38,38,3420,38,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,"Arsenal",80000000,80000000
